,idd,f3db,gm_db,lf_gain,pm_deg,ug,name,type,time,OK
0,74.13586,1120.031,-45.60921,23.76933,60.30561,15.711409999999999,lstb_SchGtAmcttTtVt_29,Sch,Thu Apr 18 21:32:58 2024,False
1,48.552330000000005,1225.949,-46.3136,20.65304,62.36802,12.35356,lstb_SchGtAmcttTtVt_28,Sch,Thu Apr 18 21:32:50 2024,False
2,51.69481,1126.846,-45.97207,22.79975,58.7314,13.85732,lstb_SchGtAmcttTtVt_27,Sch,Thu Apr 18 21:32:42 2024,False
3,59.45981,1126.556,-45.17545,23.47445,57.55663,14.8036,lstb_SchGtAmcttTtVt_26,Sch,Thu Apr 18 21:32:33 2024,False
4,72.47627,1110.6770000000001,-45.58315,23.88705,59.39833,15.646939999999999,lstb_SchGtAmcttTtVt_25,Sch,Thu Apr 18 21:32:25 2024,False
5,62.66077,1189.672,-45.03935,23.45199,58.61676,15.784089999999999,lstb_SchGtAmcttTtVt_24,Sch,Thu Apr 18 21:32:18 2024,False
6,64.07778,997.8203000000001,-47.00296,23.35992,64.10018,13.77076,lstb_SchGtAmcttTtVt_23,Sch,Thu Apr 18 21:32:10 2024,False
7,64.35741999999999,1149.623,-45.80473,22.88105,61.01016,14.66874,lstb_SchGtAmcttTtVt_22,Sch,Thu Apr 18 21:32:02 2024,False
8,31.36553,1159.694,-46.24194,19.9896,60.49641,10.3658,lstb_SchGtAmcttTtVt_21,Sch,Thu Apr 18 21:31:55 2024,False
9,59.379509999999996,1144.748,-46.02688,22.47288,60.30969,13.92194,lstb_SchGtAmcttTtVt_20,Sch,Thu Apr 18 21:31:47 2024,False
10,70.19661,1073.567,-46.93449,22.70916,64.83184,13.941099999999999,lstb_SchGtAmcttTtVt_19,Sch,Thu Apr 18 21:31:39 2024,False
11,48.55365,1225.919,-44.85975,22.39881,58.3478,14.37557,lstb_SchGtAmcttTtVt_18,Sch,Thu Apr 18 21:31:31 2024,False
12,64.60284,1113.536,-45.56196,23.43297,58.96027,14.85998,lstb_SchGtAmcttTtVt_17,Sch,Thu Apr 18 21:31:23 2024,False
13,65.79467,1073.046,-44.98702,23.67904,58.54708,14.54899,lstb_SchGtAmcttTtVt_16,Sch,Thu Apr 18 21:31:15 2024,False
14,30.230069999999998,1331.624,-47.28189,16.80575,66.07227,9.048427,lstb_SchGtAmcttTtVt_15,Sch,Thu Apr 18 21:31:07 2024,False
15,43.13727,1269.163,-45.49333,20.22016,63.23098,12.22988,lstb_SchGtAmcttTtVt_14,Sch,Thu Apr 18 21:30:59 2024,False
16,72.15629,1147.2640000000001,-44.88202,24.26152,58.35712,16.64246,lstb_SchGtAmcttTtVt_13,Sch,Thu Apr 18 21:30:51 2024,False
17,45.710800000000006,1201.086,-46.38131,21.39918,60.61069,12.9491,lstb_SchGtAmcttTtVt_12,Sch,Thu Apr 18 21:30:43 2024,False
18,44.88308,1157.015,-45.43866,21.24859,60.33555,12.13741,lstb_SchGtAmcttTtVt_11,Sch,Thu Apr 18 21:30:36 2024,False
19,36.42286,1138.851,-49.27025,17.76153,67.82605,8.794016,lstb_SchGtAmcttTtVt_10,Sch,Thu Apr 18 21:30:28 2024,False
20,76.58722,1112.269,-46.11434,23.5414,61.01588,15.35564,lstb_SchGtAmcttTtVt_9,Sch,Thu Apr 18 21:30:20 2024,False
21,45.70241,1088.365,-47.1536,20.71645,63.72275,11.10784,lstb_SchGtAmcttTtVt_8,Sch,Thu Apr 18 21:30:12 2024,False
22,61.709669999999996,1075.792,-46.75658,22.64797,62.93214,13.61647,lstb_SchGtAmcttTtVt_7,Sch,Thu Apr 18 21:30:03 2024,False
23,78.40455,1107.685,-45.90167,23.72593,60.68767,15.5735,lstb_SchGtAmcttTtVt_6,Sch,Thu Apr 18 21:29:56 2024,False
24,45.816109999999995,1287.42,-45.26215,21.69315,57.34071,13.84892,lstb_SchGtAmcttTtVt_5,Sch,Thu Apr 18 21:29:48 2024,False
25,65.3392,1147.5520000000001,-45.49726,23.51475,60.13864,15.68527,lstb_SchGtAmcttTtVt_4,Sch,Thu Apr 18 21:29:41 2024,False
26,57.39767,1085.6290000000001,-46.63152,22.55517,60.40142,13.357479999999999,lstb_SchGtAmcttTtVt_3,Sch,Thu Apr 18 21:29:33 2024,False
27,53.267450000000004,1246.775,-45.94953,21.29198,60.9808,13.37004,lstb_SchGtAmcttTtVt_2,Sch,Thu Apr 18 21:29:25 2024,False
28,54.60424,1177.445,-46.02006,22.22,61.53733,13.98725,lstb_SchGtAmcttTtVt_1,Sch,Thu Apr 18 21:29:18 2024,False
29,73.30495,1023.97,-45.99339,24.4759,60.79452,15.66894,lstb_SchGtAmcttTtVt,Sch,Thu Apr 18 21:29:10 2024,False
